../DDBJ/1772-062-249_G11.1.fastq.bz2	Input file name.
04-11-2015;12:04am	Date and Time
20.000000	selected threshold
1988459	total input reads
1710790	successfully extracted
86.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2573	low complexity
275096	match artifacts:
40101	Nextera_701
7	Nextera_702
6173	Nextera_703
8	Nextera_704
19	Nextera_705
8	Nextera_706
8	Nextera_707
29	Nextera_708
11	Nextera_709
9	Nextera_710
173541	Nextera_711
23	Nextera_712
3	Nextera_701_Reversed:
1	Nextera_702_Reversed:
11	Nextera_703_Reversed:
2	Nextera_704_Reversed:
3	Nextera_705_Reversed:
7	Nextera_706_Reversed:
1	Nextera_708_Reversed:
1	Nextera_709_Reversed:
5	Nextera_710_Reversed:
2490	Nextera_711_Reversed:
17	Nextera_712_Reversed:
8	rRNA_5.8S
5434	rRNA_18S
296	rRNA_28S
29583	EC2_RNA_SPIKE_1_(750_bp)
2678	EC15_RNA_SPIKE_4_(1000_bp)
284	EC18_RNA_SPIKE_7_(1474bp)
10955	HPV18
3380	HPV18_as
