../DDBJ/1772-067-038_G09.1.fastq.bz2	Input file name.
04-11-2015; 9:38am	Date and Time
20.000000	selected threshold
634199	total input reads
523640	successfully extracted
82.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
12498	low complexity
98061	match artifacts:
19244	Nextera_701
48	Nextera_702
11	Nextera_703
30	Nextera_704
3080	Nextera_705
4	Nextera_706
9	Nextera_707
6	Nextera_708
73373	Nextera_709
1	Nextera_710
4	Nextera_711
2	Nextera_712
1	Nextera_701_Reversed:
2	Nextera_705_Reversed:
2	Nextera_706_Reversed:
2	Nextera_708_Reversed:
459	Nextera_709_Reversed:
1	Nextera_710_Reversed:
2	Nextera_711_Reversed:
2	Nextera_712_Reversed:
131	rRNA_18S
44	rRNA_28S
1516	EC2_RNA_SPIKE_1_(750_bp)
48	EC15_RNA_SPIKE_4_(1000_bp)
31	HPV18
8	HPV18_as
