../DDBJ/1772-062-248_C05.1.fastq.bz2	Input file name.
04-10-2015; 4:45pm	Date and Time
20.000000	selected threshold
1654080	total input reads
1434833	successfully extracted
86.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
11185	low complexity
208062	match artifacts:
36588	Nextera_701
39	Nextera_702
501	Nextera_703
45	Nextera_704
150538	Nextera_705
24	Nextera_706
7	Nextera_707
4	Nextera_708
45	Nextera_709
16	Nextera_710
12	Nextera_711
57	Nextera_712
6	Nextera_701_Reversed:
9	Nextera_702_Reversed:
5	Nextera_703_Reversed:
8	Nextera_704_Reversed:
279	Nextera_705_Reversed:
4	Nextera_706_Reversed:
5	Nextera_708_Reversed:
4	Nextera_709_Reversed:
2	Nextera_710_Reversed:
38	Nextera_711_Reversed:
4	Nextera_712_Reversed:
6	rRNA_5.8S
2193	rRNA_18S
92	rRNA_28S
8795	EC2_RNA_SPIKE_1_(750_bp)
786	EC15_RNA_SPIKE_4_(1000_bp)
95	EC18_RNA_SPIKE_7_(1474bp)
5856	HPV18
1999	HPV18_as
