../DDBJ/1772-062-248_H02.1.fastq.bz2	Input file name.
04-10-2015; 8:16pm	Date and Time
20.000000	selected threshold
2252499	total input reads
1945369	successfully extracted
86.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9156	low complexity
297974	match artifacts:
52235	Nextera_701
217656	Nextera_702
39	Nextera_703
33	Nextera_704
43	Nextera_705
8	Nextera_706
48	Nextera_707
22	Nextera_708
44	Nextera_709
912	Nextera_710
21	Nextera_711
27	Nextera_712
5	Nextera_701_Reversed:
572	Nextera_702_Reversed:
7	Nextera_703_Reversed:
3	Nextera_704_Reversed:
1	Nextera_705_Reversed:
27	Nextera_706_Reversed:
1	Nextera_707_Reversed:
1	Nextera_708_Reversed:
7	Nextera_709_Reversed:
5	Nextera_711_Reversed:
7	Nextera_712_Reversed:
2	rRNA_5.8S
3964	rRNA_18S
306	rRNA_28S
15893	EC2_RNA_SPIKE_1_(750_bp)
1240	EC15_RNA_SPIKE_4_(1000_bp)
158	EC18_RNA_SPIKE_7_(1474bp)
3443	HPV18
1244	HPV18_as
