../DDBJ/1772-062-248_F07.1.fastq.bz2	Input file name.
04-10-2015; 6:55pm	Date and Time
20.000000	selected threshold
2133458	total input reads
1848782	successfully extracted
86.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
10100	low complexity
274576	match artifacts:
47784	Nextera_701
7814	Nextera_702
25	Nextera_703
536	Nextera_704
59	Nextera_705
36	Nextera_706
191812	Nextera_707
17	Nextera_708
42	Nextera_709
19	Nextera_710
18	Nextera_711
56	Nextera_712
3	Nextera_701_Reversed:
10	Nextera_702_Reversed:
12	Nextera_703_Reversed:
65	Nextera_704_Reversed:
9	Nextera_705_Reversed:
4	Nextera_706_Reversed:
480	Nextera_707_Reversed:
2	Nextera_708_Reversed:
1	Nextera_709_Reversed:
4	Nextera_710_Reversed:
5	Nextera_711_Reversed:
7	Nextera_712_Reversed:
3855	rRNA_18S
152	rRNA_28S
13017	EC2_RNA_SPIKE_1_(750_bp)
955	EC15_RNA_SPIKE_4_(1000_bp)
106	EC18_RNA_SPIKE_7_(1474bp)
5655	HPV18
2016	HPV18_as
