../DDBJ/1772-067-038_E04.1.fastq.bz2	Input file name.
04-11-2015; 8:18am	Date and Time
20.000000	selected threshold
880156	total input reads
744560	successfully extracted
84.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8598	low complexity
126998	match artifacts:
30073	Nextera_701
54	Nextera_702
17	Nextera_703
91419	Nextera_704
15	Nextera_705
17	Nextera_706
6	Nextera_707
6	Nextera_708
32	Nextera_709
2	Nextera_710
14	Nextera_711
23	Nextera_712
9	Nextera_701_Reversed:
3	Nextera_702_Reversed:
2	Nextera_703_Reversed:
458	Nextera_704_Reversed:
10	Nextera_705_Reversed:
4	Nextera_706_Reversed:
1	Nextera_708_Reversed:
2	Nextera_709_Reversed:
3	Nextera_710_Reversed:
1	Nextera_711_Reversed:
5	Nextera_712_Reversed:
105	rRNA_18S
20	rRNA_28S
3082	EC2_RNA_SPIKE_1_(750_bp)
2	EC15_RNA_SPIKE_4_(1000_bp)
1147	HPV18
466	HPV18_as
