../DDBJ/1772-064-103_H01.2.fastq.bz2	Input file name.
04-11-2015; 5:22am	Date and Time
20.000000	selected threshold
1612913	total input reads
1349413	successfully extracted
83.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2806	low complexity
260694	match artifacts:
39444	Nextera_501
14643	Nextera_502
7048	Nextera_503
8	Nextera_504
18	Nextera_505
9	Nextera_506
3	Nextera_507
191525	Nextera_508
11	Nextera_701
1	Nextera_502_Reversed:
1	Nextera_504_Reversed:
1	Nextera_505_Reversed:
2	Nextera_506_Reversed:
3	Nextera_508_Reversed:
19	rRNA_18S
11	rRNA_28S
5748	EC2_RNA_SPIKE_1_(750_bp)
1	EC3_RNA_SPIKE_3_(1000_bp)
267	EC15_RNA_SPIKE_4_(1000_bp)
18	EC18_RNA_SPIKE_7_(1474bp)
1413	HPV18
500	HPV18_as
