../DDBJ/1772-067-038_F12.1.fastq.bz2	Input file name.
04-11-2015; 9:16am	Date and Time
20.000000	selected threshold
1004722	total input reads
813771	successfully extracted
81.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
12615	low complexity
178336	match artifacts:
35860	Nextera_701
24	Nextera_702
19	Nextera_703
18	Nextera_704
5883	Nextera_705
68	Nextera_706
6	Nextera_707
74	Nextera_708
30	Nextera_709
10	Nextera_710
57	Nextera_711
132369	Nextera_712
7	Nextera_701_Reversed:
4	Nextera_702_Reversed:
3	Nextera_703_Reversed:
3	Nextera_704_Reversed:
3	Nextera_705_Reversed:
5	Nextera_706_Reversed:
1	Nextera_707_Reversed:
6	Nextera_709_Reversed:
71	Nextera_712_Reversed:
1	rRNA_5.8S
192	rRNA_18S
35	rRNA_28S
667	EC2_RNA_SPIKE_1_(750_bp)
1	EC3_RNA_SPIKE_3_(1000_bp)
15	EC15_RNA_SPIKE_4_(1000_bp)
1	EC13_RNA_SPIKE_6_(1250_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
2099	HPV18
803	HPV18_as
