../DDBJ/1772-062-249_C10.1.fastq.bz2	Input file name.
04-10-2015;10:14pm	Date and Time
20.000000	selected threshold
1293340	total input reads
1174389	successfully extracted
90.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2919	low complexity
116032	match artifacts:
18640	Nextera_701
5998	Nextera_702
5	Nextera_703
5	Nextera_704
7	Nextera_705
9	Nextera_706
3	Nextera_707
10	Nextera_708
9	Nextera_709
73353	Nextera_710
4	Nextera_711
7	Nextera_712
1	Nextera_701_Reversed:
10	Nextera_702_Reversed:
3	Nextera_703_Reversed:
2	Nextera_704_Reversed:
3	Nextera_708_Reversed:
19	Nextera_709_Reversed:
326	Nextera_710_Reversed:
7	Nextera_711_Reversed:
12	Nextera_712_Reversed:
2698	rRNA_18S
112	rRNA_28S
11514	EC2_RNA_SPIKE_1_(750_bp)
1008	EC15_RNA_SPIKE_4_(1000_bp)
135	EC18_RNA_SPIKE_7_(1474bp)
1629	HPV18
503	HPV18_as
