../DDBJ/1772-064-103_B03.1.fastq.bz2	Input file name.
04-11-2015; 1:21am	Date and Time
20.000000	selected threshold
1953634	total input reads
1625341	successfully extracted
83.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6726	low complexity
321567	match artifacts:
1	Nextera_502
52629	Nextera_701
63	Nextera_702
243092	Nextera_703
32	Nextera_704
44	Nextera_705
45	Nextera_706
26	Nextera_707
36	Nextera_708
23	Nextera_710
64	Nextera_711
30	Nextera_712
16	Nextera_701_Reversed:
1	Nextera_702_Reversed:
2341	Nextera_703_Reversed:
24	Nextera_704_Reversed:
10	Nextera_705_Reversed:
12	Nextera_706_Reversed:
1	Nextera_708_Reversed:
2	Nextera_710_Reversed:
33	Nextera_711_Reversed:
7	Nextera_712_Reversed:
1	rRNA_5.8S
177	rRNA_18S
106	rRNA_28S
17692	EC2_RNA_SPIKE_1_(750_bp)
1174	EC15_RNA_SPIKE_4_(1000_bp)
160	EC18_RNA_SPIKE_7_(1474bp)
2747	HPV18
978	HPV18_as
