../DDBJ/1772-064-103_F07.2.fastq.bz2	Input file name.
04-11-2015; 4:24am	Date and Time
20.000000	selected threshold
2074303	total input reads
1719350	successfully extracted
82.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2832	low complexity
352121	match artifacts:
50996	Nextera_501
832	Nextera_502
26	Nextera_503
11250	Nextera_504
38	Nextera_505
251655	Nextera_506
48	Nextera_507
11	Nextera_508
28	Nextera_701
1	Nextera_502_Reversed:
1	Nextera_505_Reversed:
6	Nextera_506_Reversed:
2	Nextera_508_Reversed:
9	rRNA_5.8S
187	rRNA_18S
264	rRNA_28S
28109	EC2_RNA_SPIKE_1_(750_bp)
13	EC3_RNA_SPIKE_3_(1000_bp)
1120	EC15_RNA_SPIKE_4_(1000_bp)
2	EC18_RNA_SPIKE_7_(1474bp)
5315	HPV18
2208	HPV18_as
