../DDBJ/1772-064-103_C12.1.fastq.bz2	Input file name.
04-11-2015; 2:38am	Date and Time
20.000000	selected threshold
2072316	total input reads
1742047	successfully extracted
84.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4820	low complexity
325449	match artifacts:
55562	Nextera_701
50	Nextera_702
36	Nextera_703
28	Nextera_704
8929	Nextera_705
94	Nextera_706
32	Nextera_707
110	Nextera_708
42	Nextera_709
30	Nextera_710
97	Nextera_711
249642	Nextera_712
16	Nextera_701_Reversed:
2	Nextera_702_Reversed:
15	Nextera_703_Reversed:
26	Nextera_704_Reversed:
16	Nextera_705_Reversed:
6	Nextera_706_Reversed:
2	Nextera_707_Reversed:
3	Nextera_708_Reversed:
2	Nextera_710_Reversed:
11	Nextera_711_Reversed:
795	Nextera_712_Reversed:
1	rRNA_5.8S
77	rRNA_18S
50	rRNA_28S
6631	EC2_RNA_SPIKE_1_(750_bp)
7	EC3_RNA_SPIKE_3_(1000_bp)
343	EC15_RNA_SPIKE_4_(1000_bp)
62	EC18_RNA_SPIKE_7_(1474bp)
2030	HPV18
702	HPV18_as
