../DDBJ/1772-062-249_B01.1.fastq.bz2	Input file name.
04-10-2015; 9:28pm	Date and Time
20.000000	selected threshold
1118668	total input reads
1020175	successfully extracted
91.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3312	low complexity
95181	match artifacts:
76599	Nextera_701
3	Nextera_702
72	Nextera_703
5	Nextera_704
5	Nextera_705
8	Nextera_706
2	Nextera_708
6	Nextera_709
4	Nextera_710
3	Nextera_711
9	Nextera_712
151	Nextera_701_Reversed:
1	Nextera_703_Reversed:
1	Nextera_704_Reversed:
1	Nextera_705_Reversed:
5	Nextera_706_Reversed:
6	Nextera_709_Reversed:
3	Nextera_710_Reversed:
117	Nextera_711_Reversed:
11	Nextera_712_Reversed:
1	rRNA_5.8S
3201	rRNA_18S
100	rRNA_28S
8508	EC2_RNA_SPIKE_1_(750_bp)
855	EC15_RNA_SPIKE_4_(1000_bp)
65	EC18_RNA_SPIKE_7_(1474bp)
4144	HPV18
1295	HPV18_as
