../DDBJ/1772-064-103_D05.1.fastq.bz2	Input file name.
04-11-2015; 2:52am	Date and Time
20.000000	selected threshold
1551262	total input reads
1287827	successfully extracted
83.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4428	low complexity
259007	match artifacts:
42583	Nextera_701
51	Nextera_702
162	Nextera_703
28	Nextera_704
197393	Nextera_705
27	Nextera_706
13	Nextera_707
40	Nextera_708
17	Nextera_710
33	Nextera_711
34	Nextera_712
2	Nextera_504_Reversed:
14	Nextera_701_Reversed:
1	Nextera_702_Reversed:
10	Nextera_703_Reversed:
63	Nextera_704_Reversed:
1965	Nextera_705_Reversed:
2	Nextera_706_Reversed:
3	Nextera_707_Reversed:
7	Nextera_708_Reversed:
14	Nextera_711_Reversed:
12	Nextera_712_Reversed:
13	rRNA_5.8S
89	rRNA_18S
70	rRNA_28S
11872	EC2_RNA_SPIKE_1_(750_bp)
646	EC15_RNA_SPIKE_4_(1000_bp)
138	EC18_RNA_SPIKE_7_(1474bp)
2760	HPV18
945	HPV18_as
