../DDBJ/1772-062-248_H08.1.fastq.bz2	Input file name.
04-10-2015; 8:37pm	Date and Time
20.000000	selected threshold
1993509	total input reads
1739097	successfully extracted
87.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
10239	low complexity
244173	match artifacts:
43969	Nextera_701
6869	Nextera_702
155	Nextera_703
21	Nextera_704
30	Nextera_705
14	Nextera_706
23	Nextera_707
172531	Nextera_708
30	Nextera_709
22	Nextera_710
36	Nextera_711
31	Nextera_712
5	Nextera_701_Reversed:
3	Nextera_702_Reversed:
4	Nextera_704_Reversed:
2	Nextera_705_Reversed:
43	Nextera_706_Reversed:
2	Nextera_707_Reversed:
451	Nextera_708_Reversed:
7	Nextera_709_Reversed:
1	Nextera_710_Reversed:
4	Nextera_711_Reversed:
4	Nextera_712_Reversed:
3180	rRNA_18S
179	rRNA_28S
10249	EC2_RNA_SPIKE_1_(750_bp)
820	EC15_RNA_SPIKE_4_(1000_bp)
91	EC18_RNA_SPIKE_7_(1474bp)
4021	HPV18
1376	HPV18_as
