../DDBJ/1772-062-248_C08.1.fastq.bz2	Input file name.
04-10-2015; 4:55pm	Date and Time
20.000000	selected threshold
242068	total input reads
54209	successfully extracted
22.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2555	low complexity
185304	match artifacts:
1	Nextera_501
7893	Nextera_701
1465	Nextera_702
41	Nextera_703
31	Nextera_704
19	Nextera_705
38	Nextera_706
13	Nextera_707
40467	Nextera_708
18	Nextera_709
12	Nextera_710
4	Nextera_711
35	Nextera_712
7	Nextera_701_Reversed:
35	Nextera_702_Reversed:
4	Nextera_703_Reversed:
1	Nextera_705_Reversed:
4	Nextera_706_Reversed:
1	Nextera_707_Reversed:
5043	Nextera_708_Reversed:
3	Nextera_709_Reversed:
1	Nextera_710_Reversed:
36	Nextera_711_Reversed:
4	Nextera_712_Reversed:
5	rRNA_18S
2	rRNA_28S
122555	EC2_RNA_SPIKE_1_(750_bp)
6160	EC15_RNA_SPIKE_4_(1000_bp)
1388	EC18_RNA_SPIKE_7_(1474bp)
16	HPV18
2	HPV18_as
