../DDBJ/1772-062-248_C01.1.fastq.bz2	Input file name.
04-10-2015; 4:31pm	Date and Time
20.000000	selected threshold
1903878	total input reads
1658445	successfully extracted
87.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
10238	low complexity
235195	match artifacts:
3	Nextera_501
218645	Nextera_701
36	Nextera_702
405	Nextera_703
32	Nextera_704
28	Nextera_705
50	Nextera_706
13	Nextera_707
9	Nextera_708
26	Nextera_709
18	Nextera_710
15	Nextera_711
42	Nextera_712
270	Nextera_701_Reversed:
15	Nextera_702_Reversed:
6	Nextera_703_Reversed:
5	Nextera_704_Reversed:
5	Nextera_705_Reversed:
8	Nextera_706_Reversed:
5	Nextera_708_Reversed:
3	Nextera_710_Reversed:
36	Nextera_711_Reversed:
4	Nextera_712_Reversed:
1	rRNA_5.8S
2992	rRNA_18S
132	rRNA_28S
8367	EC2_RNA_SPIKE_1_(750_bp)
725	EC15_RNA_SPIKE_4_(1000_bp)
79	EC18_RNA_SPIKE_7_(1474bp)
2367	HPV18
853	HPV18_as
