../DDBJ/1772-062-248_B02.1.fastq.bz2	Input file name.
04-10-2015; 3:57pm	Date and Time
20.000000	selected threshold
1668789	total input reads
1448862	successfully extracted
86.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9246	low complexity
210681	match artifacts:
37617	Nextera_701
158220	Nextera_702
31	Nextera_703
29	Nextera_704
39	Nextera_705
8	Nextera_706
30	Nextera_707
22	Nextera_708
19	Nextera_709
587	Nextera_710
18	Nextera_711
24	Nextera_712
9	Nextera_701_Reversed:
367	Nextera_702_Reversed:
2	Nextera_703_Reversed:
14	Nextera_704_Reversed:
2	Nextera_705_Reversed:
40	Nextera_706_Reversed:
21	Nextera_707_Reversed:
4	Nextera_708_Reversed:
53	Nextera_709_Reversed:
2	Nextera_710_Reversed:
4	Nextera_711_Reversed:
1	Nextera_712_Reversed:
2263	rRNA_18S
85	rRNA_28S
5949	EC2_RNA_SPIKE_1_(750_bp)
362	EC15_RNA_SPIKE_4_(1000_bp)
27	EC18_RNA_SPIKE_7_(1474bp)
3603	HPV18
1229	HPV18_as
