../DDBJ/1772-062-248_A06.1.fastq.bz2	Input file name.
04-10-2015; 3:29pm	Date and Time
20.000000	selected threshold
2036241	total input reads
1792987	successfully extracted
88.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
10702	low complexity
232552	match artifacts:
54604	Nextera_701
120	Nextera_702
711	Nextera_703
40	Nextera_704
34	Nextera_705
158458	Nextera_706
6	Nextera_707
30	Nextera_708
20	Nextera_709
7	Nextera_710
42	Nextera_711
22	Nextera_712
11	Nextera_701_Reversed:
1	Nextera_702_Reversed:
8	Nextera_703_Reversed:
3	Nextera_704_Reversed:
2	Nextera_705_Reversed:
233	Nextera_706_Reversed:
1	Nextera_707_Reversed:
7	Nextera_708_Reversed:
1	Nextera_709_Reversed:
1	Nextera_710_Reversed:
6	Nextera_711_Reversed:
2	Nextera_712_Reversed:
1	rRNA_5.8S
2814	rRNA_18S
148	rRNA_28S
7996	EC2_RNA_SPIKE_1_(750_bp)
678	EC15_RNA_SPIKE_4_(1000_bp)
92	EC18_RNA_SPIKE_7_(1474bp)
4801	HPV18
1652	HPV18_as
