../DDBJ/1772-062-248_C04.1.fastq.bz2	Input file name.
04-10-2015; 4:41pm	Date and Time
20.000000	selected threshold
1727970	total input reads
1502911	successfully extracted
87.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
10099	low complexity
214960	match artifacts:
41889	Nextera_701
986	Nextera_702
35	Nextera_703
149866	Nextera_704
32	Nextera_705
34	Nextera_706
13	Nextera_707
9	Nextera_708
32	Nextera_709
7	Nextera_710
10	Nextera_711
43	Nextera_712
5	Nextera_701_Reversed:
5	Nextera_702_Reversed:
5	Nextera_703_Reversed:
327	Nextera_704_Reversed:
2	Nextera_705_Reversed:
6	Nextera_706_Reversed:
1	Nextera_707_Reversed:
4	Nextera_708_Reversed:
4	Nextera_709_Reversed:
22	Nextera_711_Reversed:
2	Nextera_712_Reversed:
1	rRNA_5.8S
2253	rRNA_18S
134	rRNA_28S
8830	EC2_RNA_SPIKE_1_(750_bp)
662	EC15_RNA_SPIKE_4_(1000_bp)
4	EC18_RNA_SPIKE_7_(1474bp)
7226	HPV18
2511	HPV18_as
