../DDBJ/1772-062-248_D10.1.fastq.bz2	Input file name.
04-10-2015; 5:41pm	Date and Time
20.000000	selected threshold
1621661	total input reads
1407712	successfully extracted
86.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6112	low complexity
207837	match artifacts:
36578	Nextera_701
11831	Nextera_702
27	Nextera_703
27	Nextera_704
40	Nextera_705
55	Nextera_706
3	Nextera_707
94	Nextera_708
25	Nextera_709
138682	Nextera_710
2	Nextera_711
32	Nextera_712
12	Nextera_702_Reversed:
2	Nextera_703_Reversed:
5	Nextera_704_Reversed:
4	Nextera_705_Reversed:
3	Nextera_706_Reversed:
25	Nextera_707_Reversed:
4	Nextera_708_Reversed:
2	Nextera_709_Reversed:
326	Nextera_710_Reversed:
23	Nextera_711_Reversed:
4	Nextera_712_Reversed:
1	rRNA_5.8S
1970	rRNA_18S
145	rRNA_28S
10104	EC2_RNA_SPIKE_1_(750_bp)
965	EC15_RNA_SPIKE_4_(1000_bp)
89	EC18_RNA_SPIKE_7_(1474bp)
5051	HPV18
1706	HPV18_as
