../DDBJ/1772-062-248_F11.1.fastq.bz2	Input file name.
04-10-2015; 7:11pm	Date and Time
20.000000	selected threshold
2191625	total input reads
1883556	successfully extracted
85.9%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
13394	low complexity
294675	match artifacts:
1	Nextera_501
51533	Nextera_701
23	Nextera_702
7985	Nextera_703
18	Nextera_704
42	Nextera_705
32	Nextera_706
16	Nextera_707
78	Nextera_708
35	Nextera_709
44	Nextera_710
200358	Nextera_711
33	Nextera_712
4	Nextera_701_Reversed:
9	Nextera_703_Reversed:
62	Nextera_704_Reversed:
8	Nextera_705_Reversed:
2	Nextera_706_Reversed:
1	Nextera_708_Reversed:
3	Nextera_709_Reversed:
523	Nextera_711_Reversed:
12	Nextera_712_Reversed:
4459	rRNA_18S
321	rRNA_28S
18155	EC2_RNA_SPIKE_1_(750_bp)
1632	EC15_RNA_SPIKE_4_(1000_bp)
167	EC18_RNA_SPIKE_7_(1474bp)
6741	HPV18
2378	HPV18_as
