../DDBJ/1772-064-103_D10.1.fastq.bz2	Input file name.
04-11-2015; 3:07am	Date and Time
20.000000	selected threshold
1569634	total input reads
1325409	successfully extracted
84.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4595	low complexity
239630	match artifacts:
1	Nextera_504
40308	Nextera_701
13050	Nextera_702
34	Nextera_703
28	Nextera_704
41	Nextera_705
30	Nextera_706
21	Nextera_707
52	Nextera_708
171333	Nextera_710
24	Nextera_711
27	Nextera_712
15	Nextera_701_Reversed:
33	Nextera_702_Reversed:
6	Nextera_703_Reversed:
48	Nextera_704_Reversed:
18	Nextera_705_Reversed:
8	Nextera_706_Reversed:
10	Nextera_707_Reversed:
21	Nextera_708_Reversed:
1159	Nextera_710_Reversed:
19	Nextera_711_Reversed:
8	Nextera_712_Reversed:
1	rRNA_5.8S
112	rRNA_18S
60	rRNA_28S
9615	EC2_RNA_SPIKE_1_(750_bp)
244	EC15_RNA_SPIKE_4_(1000_bp)
2454	HPV18
850	HPV18_as
