../DDBJ/1772-062-249_E08.1.fastq.bz2	Input file name.
04-10-2015;11:02pm	Date and Time
20.000000	selected threshold
1333699	total input reads
1210227	successfully extracted
90.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4113	low complexity
119359	match artifacts:
1	Nextera_501
16556	Nextera_701
2564	Nextera_702
36	Nextera_703
4	Nextera_704
8	Nextera_705
9	Nextera_706
5	Nextera_707
65543	Nextera_708
10	Nextera_709
5	Nextera_711
14	Nextera_712
1	Nextera_701_Reversed:
4	Nextera_702_Reversed:
3	Nextera_703_Reversed:
4	Nextera_704_Reversed:
1	Nextera_705_Reversed:
4	Nextera_706_Reversed:
1	Nextera_707_Reversed:
631	Nextera_708_Reversed:
6	Nextera_709_Reversed:
1	Nextera_710_Reversed:
7	Nextera_711_Reversed:
31	Nextera_712_Reversed:
1	rRNA_5.8S
3067	rRNA_18S
203	rRNA_28S
22584	EC2_RNA_SPIKE_1_(750_bp)
2020	EC15_RNA_SPIKE_4_(1000_bp)
217	EC18_RNA_SPIKE_7_(1474bp)
4401	HPV18
1417	HPV18_as
