../DDBJ/1772-064-103_G10.1.fastq.bz2	Input file name.
04-11-2015; 5:09am	Date and Time
20.000000	selected threshold
1718226	total input reads
1457365	successfully extracted
84.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5039	low complexity
255822	match artifacts:
1	Nextera_501
43101	Nextera_701
14003	Nextera_702
35	Nextera_703
41	Nextera_704
37	Nextera_705
40	Nextera_706
32	Nextera_707
46	Nextera_708
182374	Nextera_710
21	Nextera_711
26	Nextera_712
11	Nextera_701_Reversed:
49	Nextera_702_Reversed:
17	Nextera_703_Reversed:
13	Nextera_704_Reversed:
3	Nextera_705_Reversed:
9	Nextera_706_Reversed:
5	Nextera_707_Reversed:
27	Nextera_708_Reversed:
1650	Nextera_710_Reversed:
10	Nextera_711_Reversed:
10	Nextera_712_Reversed:
219	rRNA_18S
36	rRNA_28S
11257	EC2_RNA_SPIKE_1_(750_bp)
7	EC3_RNA_SPIKE_3_(1000_bp)
722	EC15_RNA_SPIKE_4_(1000_bp)
1478	HPV18
542	HPV18_as
