../DDBJ/1772-067-038_A10.1.fastq.bz2	Input file name.
04-11-2015; 6:15am	Date and Time
20.000000	selected threshold
1334833	total input reads
1209688	successfully extracted
90.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9305	low complexity
115840	match artifacts:
25485	Nextera_701
7735	Nextera_702
5	Nextera_703
6	Nextera_704
8	Nextera_705
4	Nextera_706
8	Nextera_707
16	Nextera_708
15	Nextera_709
79586	Nextera_710
5	Nextera_711
10	Nextera_712
1	Nextera_701_Reversed:
1	Nextera_702_Reversed:
1	Nextera_703_Reversed:
3	Nextera_704_Reversed:
4	Nextera_705_Reversed:
1	Nextera_706_Reversed:
2	Nextera_707_Reversed:
2	Nextera_708_Reversed:
2	Nextera_709_Reversed:
204	Nextera_710_Reversed:
1	Nextera_711_Reversed:
3	Nextera_712_Reversed:
4	rRNA_5.8S
93	rRNA_18S
12	rRNA_28S
319	EC2_RNA_SPIKE_1_(750_bp)
1	EC18_RNA_SPIKE_7_(1474bp)
1758	HPV18
545	HPV18_as
