../DDBJ/1772-062-249_G12.1.fastq.bz2	Input file name.
04-11-2015;12:08am	Date and Time
20.000000	selected threshold
1729334	total input reads
1501255	successfully extracted
86.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2283	low complexity
225796	match artifacts:
1	Nextera_501
35417	Nextera_701
18	Nextera_702
16	Nextera_703
10	Nextera_704
5498	Nextera_705
157	Nextera_706
7	Nextera_707
32	Nextera_708
23	Nextera_709
5	Nextera_710
32	Nextera_711
154914	Nextera_712
4	Nextera_701_Reversed:
1	Nextera_703_Reversed:
1	Nextera_704_Reversed:
17	Nextera_705_Reversed:
1	Nextera_706_Reversed:
4	Nextera_709_Reversed:
5	Nextera_710_Reversed:
9	Nextera_711_Reversed:
2446	Nextera_712_Reversed:
2	rRNA_5.8S
3858	rRNA_18S
153	rRNA_28S
17643	EC2_RNA_SPIKE_1_(750_bp)
1609	EC15_RNA_SPIKE_4_(1000_bp)
106	EC18_RNA_SPIKE_7_(1474bp)
2889	HPV18
918	HPV18_as
