../DDBJ/1772-062-248_F01.1.fastq.bz2	Input file name.
04-10-2015; 6:33pm	Date and Time
20.000000	selected threshold
2300165	total input reads
1985325	successfully extracted
86.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
11150	low complexity
303690	match artifacts:
1	Nextera_501
278042	Nextera_701
54	Nextera_702
527	Nextera_703
10	Nextera_704
46	Nextera_705
67	Nextera_706
21	Nextera_707
14	Nextera_708
41	Nextera_709
10	Nextera_710
29	Nextera_711
55	Nextera_712
345	Nextera_701_Reversed:
5	Nextera_703_Reversed:
71	Nextera_704_Reversed:
6	Nextera_705_Reversed:
4	Nextera_706_Reversed:
1	Nextera_708_Reversed:
4	Nextera_709_Reversed:
2	Nextera_710_Reversed:
5	Nextera_711_Reversed:
7	Nextera_712_Reversed:
2	rRNA_5.8S
3904	rRNA_18S
251	rRNA_28S
13154	EC2_RNA_SPIKE_1_(750_bp)
950	EC15_RNA_SPIKE_4_(1000_bp)
21	EC18_RNA_SPIKE_7_(1474bp)
4440	HPV18
1601	HPV18_as
