../DDBJ/1772-064-103_G07.1.fastq.bz2	Input file name.
04-11-2015; 4:59am	Date and Time
20.000000	selected threshold
1794951	total input reads
1543179	successfully extracted
86.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6439	low complexity
245333	match artifacts:
42531	Nextera_701
6814	Nextera_702
32	Nextera_703
139	Nextera_704
30	Nextera_705
26	Nextera_706
183903	Nextera_707
38	Nextera_708
18	Nextera_710
29	Nextera_711
34	Nextera_712
16	Nextera_701_Reversed:
14	Nextera_702_Reversed:
14	Nextera_703_Reversed:
21	Nextera_704_Reversed:
13	Nextera_705_Reversed:
12	Nextera_706_Reversed:
1090	Nextera_707_Reversed:
31	Nextera_708_Reversed:
8	Nextera_710_Reversed:
11	Nextera_711_Reversed:
27	Nextera_712_Reversed:
125	rRNA_18S
17	rRNA_28S
7763	EC2_RNA_SPIKE_1_(750_bp)
612	EC15_RNA_SPIKE_4_(1000_bp)
120	EC18_RNA_SPIKE_7_(1474bp)
1384	HPV18
461	HPV18_as
