../DDBJ/1772-067-038_G12.1.fastq.bz2	Input file name.
04-11-2015; 9:41am	Date and Time
20.000000	selected threshold
7190	total input reads
3430	successfully extracted
47.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
308	low complexity
3452	match artifacts:
254	Nextera_701
7	Nextera_702
10	Nextera_703
12	Nextera_704
36	Nextera_705
4	Nextera_706
3	Nextera_708
12	Nextera_709
10	Nextera_711
870	Nextera_712
1	Nextera_701_Reversed:
5	Nextera_703_Reversed:
6	Nextera_704_Reversed:
5	Nextera_705_Reversed:
4	Nextera_706_Reversed:
3	Nextera_707_Reversed:
3	Nextera_709_Reversed:
1	Nextera_710_Reversed:
2	Nextera_711_Reversed:
112	Nextera_712_Reversed:
2	rRNA_18S
2043	EC2_RNA_SPIKE_1_(750_bp)
5	EC3_RNA_SPIKE_3_(1000_bp)
37	EC15_RNA_SPIKE_4_(1000_bp)
1	EC13_RNA_SPIKE_6_(1250_bp)
3	EC18_RNA_SPIKE_7_(1474bp)
1	HPV18
