../DDBJ/1772-062-249_G07.1.fastq.bz2	Input file name.
04-10-2015;11:56pm	Date and Time
20.000000	selected threshold
1123614	total input reads
1019666	successfully extracted
90.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5318	low complexity
98630	match artifacts:
15208	Nextera_701
2480	Nextera_702
4	Nextera_703
91	Nextera_704
7	Nextera_705
8	Nextera_706
61680	Nextera_707
4	Nextera_708
10	Nextera_709
1	Nextera_710
4	Nextera_711
7	Nextera_712
3	Nextera_701_Reversed:
1	Nextera_702_Reversed:
4	Nextera_703_Reversed:
1	Nextera_704_Reversed:
1	Nextera_705_Reversed:
2	Nextera_706_Reversed:
228	Nextera_707_Reversed:
2	Nextera_708_Reversed:
2	Nextera_709_Reversed:
18	Nextera_710_Reversed:
10	Nextera_711_Reversed:
11	Nextera_712_Reversed:
1	rRNA_5.8S
3145	rRNA_18S
112	rRNA_28S
12187	EC2_RNA_SPIKE_1_(750_bp)
901	EC15_RNA_SPIKE_4_(1000_bp)
196	EC18_RNA_SPIKE_7_(1474bp)
1777	HPV18
524	HPV18_as
