../DDBJ/1772-062-249_G10.1.fastq.bz2	Input file name.
04-11-2015;12:02am	Date and Time
20.000000	selected threshold
485552	total input reads
177518	successfully extracted
36.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1657	low complexity
306377	match artifacts:
1	Nextera_501
10590	Nextera_701
3572	Nextera_702
3	Nextera_703
2	Nextera_704
6	Nextera_705
11	Nextera_706
2	Nextera_707
10	Nextera_708
9	Nextera_709
46565	Nextera_710
5	Nextera_711
9	Nextera_712
3	Nextera_701_Reversed:
41	Nextera_702_Reversed:
1	Nextera_704_Reversed:
1	Nextera_706_Reversed:
2	Nextera_707_Reversed:
2	Nextera_709_Reversed:
3410	Nextera_710_Reversed:
5	Nextera_711_Reversed:
9	Nextera_712_Reversed:
590	rRNA_18S
77	rRNA_28S
228848	EC2_RNA_SPIKE_1_(750_bp)
11478	EC15_RNA_SPIKE_4_(1000_bp)
1123	EC18_RNA_SPIKE_7_(1474bp)
2	HPV18_as
