../DDBJ/1772-062-248_D03.1.fastq.bz2	Input file name.
04-10-2015; 5:18pm	Date and Time
20.000000	selected threshold
2160018	total input reads
1849288	successfully extracted
85.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5055	low complexity
305675	match artifacts:
1	Nextera_501
52641	Nextera_701
63	Nextera_702
222242	Nextera_703
47	Nextera_704
92	Nextera_705
43	Nextera_706
6	Nextera_707
9	Nextera_708
40	Nextera_709
16	Nextera_710
41	Nextera_711
54	Nextera_712
8	Nextera_701_Reversed:
512	Nextera_703_Reversed:
5	Nextera_704_Reversed:
6	Nextera_705_Reversed:
7	Nextera_706_Reversed:
11	Nextera_707_Reversed:
1	Nextera_709_Reversed:
2	Nextera_710_Reversed:
51	Nextera_711_Reversed:
4	Nextera_712_Reversed:
3840	rRNA_18S
174	rRNA_28S
14850	EC2_RNA_SPIKE_1_(750_bp)
1287	EC15_RNA_SPIKE_4_(1000_bp)
80	EC18_RNA_SPIKE_7_(1474bp)
7036	HPV18
2506	HPV18_as
