../DDBJ/1772-062-248_B09.1.fastq.bz2	Input file name.
04-10-2015; 4:17pm	Date and Time
20.000000	selected threshold
295479	total input reads
63882	successfully extracted
21.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
2082	low complexity
229515	match artifacts:
9860	Nextera_701
249	Nextera_702
22	Nextera_703
92	Nextera_704
1715	Nextera_705
8	Nextera_706
28	Nextera_707
4	Nextera_708
52636	Nextera_709
13	Nextera_710
10	Nextera_711
23	Nextera_712
9	Nextera_701_Reversed:
2	Nextera_703_Reversed:
8	Nextera_704_Reversed:
7	Nextera_705_Reversed:
43	Nextera_706_Reversed:
5	Nextera_707_Reversed:
5023	Nextera_709_Reversed:
1	Nextera_710_Reversed:
4	Nextera_711_Reversed:
1	Nextera_712_Reversed:
4	rRNA_18S
2	rRNA_28S
149624	EC2_RNA_SPIKE_1_(750_bp)
9187	EC15_RNA_SPIKE_4_(1000_bp)
920	EC18_RNA_SPIKE_7_(1474bp)
13	HPV18
2	HPV18_as
