../DDBJ/1772-062-249_C08.1.fastq.bz2	Input file name.
04-10-2015;10:09pm	Date and Time
20.000000	selected threshold
1225893	total input reads
1096509	successfully extracted
89.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
3881	low complexity
125503	match artifacts:
18610	Nextera_701
2949	Nextera_702
39	Nextera_703
12	Nextera_704
9	Nextera_705
6	Nextera_706
7	Nextera_707
75640	Nextera_708
14	Nextera_709
6	Nextera_710
10	Nextera_711
9	Nextera_712
3	Nextera_701_Reversed:
4	Nextera_702_Reversed:
5	Nextera_703_Reversed:
4	Nextera_704_Reversed:
1	Nextera_705_Reversed:
1	Nextera_706_Reversed:
4	Nextera_707_Reversed:
526	Nextera_708_Reversed:
38	Nextera_709_Reversed:
1	Nextera_710_Reversed:
14	Nextera_711_Reversed:
20	Nextera_712_Reversed:
10	rRNA_5.8S
4418	rRNA_18S
244	rRNA_28S
13725	EC2_RNA_SPIKE_1_(750_bp)
1079	EC15_RNA_SPIKE_4_(1000_bp)
121	EC18_RNA_SPIKE_7_(1474bp)
6061	HPV18
1913	HPV18_as
