../DDBJ/1772-062-248_D01.1.fastq.bz2	Input file name.
04-10-2015; 5:10pm	Date and Time
20.000000	selected threshold
1873040	total input reads
1623260	successfully extracted
86.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5384	low complexity
244396	match artifacts:
1	Nextera_501
228926	Nextera_701
37	Nextera_702
469	Nextera_703
38	Nextera_704
41	Nextera_705
64	Nextera_706
3	Nextera_707
11	Nextera_708
23	Nextera_709
10	Nextera_710
26	Nextera_711
40	Nextera_712
248	Nextera_701_Reversed:
5	Nextera_703_Reversed:
5	Nextera_704_Reversed:
5	Nextera_705_Reversed:
4	Nextera_706_Reversed:
18	Nextera_707_Reversed:
1	Nextera_708_Reversed:
3	Nextera_709_Reversed:
1	Nextera_710_Reversed:
31	Nextera_711_Reversed:
4	Nextera_712_Reversed:
2928	rRNA_18S
110	rRNA_28S
9204	EC2_RNA_SPIKE_1_(750_bp)
891	EC15_RNA_SPIKE_4_(1000_bp)
47	EC18_RNA_SPIKE_7_(1474bp)
880	HPV18
322	HPV18_as
