../DDBJ/1772-062-248_D09.1.fastq.bz2	Input file name.
04-10-2015; 5:38pm	Date and Time
20.000000	selected threshold
1485413	total input reads
1283702	successfully extracted
86.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5002	low complexity
196709	match artifacts:
34798	Nextera_701
558	Nextera_702
25	Nextera_703
170	Nextera_704
5297	Nextera_705
26	Nextera_706
122	Nextera_707
6	Nextera_708
141518	Nextera_709
13	Nextera_710
5	Nextera_711
51	Nextera_712
3	Nextera_701_Reversed:
2	Nextera_702_Reversed:
2	Nextera_703_Reversed:
7	Nextera_704_Reversed:
4	Nextera_705_Reversed:
4	Nextera_706_Reversed:
9	Nextera_707_Reversed:
333	Nextera_709_Reversed:
1	Nextera_710_Reversed:
20	Nextera_711_Reversed:
6	Nextera_712_Reversed:
2587	rRNA_18S
121	rRNA_28S
6846	EC2_RNA_SPIKE_1_(750_bp)
639	EC15_RNA_SPIKE_4_(1000_bp)
9	EC18_RNA_SPIKE_7_(1474bp)
2557	HPV18
970	HPV18_as
