../DDBJ/1772-062-249_D12.2.fastq.bz2	Input file name.
04-10-2015;10:46pm	Date and Time
20.000000	selected threshold
1723818	total input reads
1502315	successfully extracted
87.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
630	low complexity
220873	match artifacts:
31671	Nextera_501
140	Nextera_502
6	Nextera_503
165004	Nextera_504
2338	Nextera_505
13	Nextera_506
2	Nextera_507
2	Nextera_508
24	Nextera_701
2	Nextera_502_Reversed:
2	Nextera_504_Reversed:
1	Nextera_508_Reversed:
2655	rRNA_18S
116	rRNA_28S
11647	EC2_RNA_SPIKE_1_(750_bp)
790	EC15_RNA_SPIKE_4_(1000_bp)
91	EC18_RNA_SPIKE_7_(1474bp)
4794	HPV18
1575	HPV18_as
