../DDBJ/1772-062-248_G03.1.fastq.bz2	Input file name.
04-10-2015; 7:30pm	Date and Time
20.000000	selected threshold
2374623	total input reads
2052208	successfully extracted
86.4%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
10207	low complexity
312208	match artifacts:
54237	Nextera_701
62	Nextera_702
225644	Nextera_703
27	Nextera_704
82	Nextera_705
52	Nextera_706
13	Nextera_707
21	Nextera_708
56	Nextera_709
20	Nextera_710
57	Nextera_711
49	Nextera_712
6	Nextera_701_Reversed:
1	Nextera_702_Reversed:
547	Nextera_703_Reversed:
5	Nextera_704_Reversed:
5	Nextera_705_Reversed:
4	Nextera_706_Reversed:
1	Nextera_707_Reversed:
3	Nextera_708_Reversed:
8	Nextera_709_Reversed:
4	Nextera_711_Reversed:
4	Nextera_712_Reversed:
1	rRNA_5.8S
4372	rRNA_18S
197	rRNA_28S
18491	EC2_RNA_SPIKE_1_(750_bp)
1002	EC15_RNA_SPIKE_4_(1000_bp)
231	EC18_RNA_SPIKE_7_(1474bp)
5206	HPV18
1800	HPV18_as
