../DDBJ/1772-062-248_G08.1.fastq.bz2	Input file name.
04-10-2015; 7:49pm	Date and Time
20.000000	selected threshold
2110611	total input reads
1829562	successfully extracted
86.7%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9811	low complexity
271238	match artifacts:
2	Nextera_501
46883	Nextera_701
7549	Nextera_702
169	Nextera_703
24	Nextera_704
23	Nextera_705
29	Nextera_706
27	Nextera_707
187657	Nextera_708
36	Nextera_709
18	Nextera_710
45	Nextera_711
25	Nextera_712
2	Nextera_701_Reversed:
5	Nextera_702_Reversed:
5	Nextera_703_Reversed:
3	Nextera_704_Reversed:
2	Nextera_705_Reversed:
3	Nextera_707_Reversed:
563	Nextera_708_Reversed:
3	Nextera_709_Reversed:
2	Nextera_710_Reversed:
2	Nextera_711_Reversed:
1	Nextera_712_Reversed:
3480	rRNA_18S
190	rRNA_28S
14058	EC2_RNA_SPIKE_1_(750_bp)
1290	EC15_RNA_SPIKE_4_(1000_bp)
137	EC18_RNA_SPIKE_7_(1474bp)
6631	HPV18
2374	HPV18_as
