../DDBJ/1772-062-248_A09.1.fastq.bz2	Input file name.
04-10-2015; 3:39pm	Date and Time
20.000000	selected threshold
1418573	total input reads
1235466	successfully extracted
87.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7765	low complexity
175342	match artifacts:
1	Nextera_501
30880	Nextera_701
463	Nextera_702
37	Nextera_703
172	Nextera_704
4648	Nextera_705
29	Nextera_706
119	Nextera_707
5	Nextera_708
126048	Nextera_709
4	Nextera_710
21	Nextera_711
25	Nextera_712
5	Nextera_701_Reversed:
2	Nextera_703_Reversed:
5	Nextera_704_Reversed:
3	Nextera_705_Reversed:
1	Nextera_706_Reversed:
1	Nextera_707_Reversed:
5	Nextera_708_Reversed:
314	Nextera_709_Reversed:
14	Nextera_711_Reversed:
2	Nextera_712_Reversed:
2476	rRNA_18S
172	rRNA_28S
5189	EC2_RNA_SPIKE_1_(750_bp)
373	EC15_RNA_SPIKE_4_(1000_bp)
52	EC18_RNA_SPIKE_7_(1474bp)
3223	HPV18
1053	HPV18_as
