../DDBJ/1772-067-039_D07.1.fastq.bz2	Input file name.
04-11-2015;11:38am	Date and Time
20.000000	selected threshold
1713665	total input reads
1495038	successfully extracted
87.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
4889	low complexity
213738	match artifacts:
1	Nextera_501
45451	Nextera_701
7089	Nextera_702
16	Nextera_703
68	Nextera_704
51	Nextera_705
158027	Nextera_707
17	Nextera_708
40	Nextera_709
9	Nextera_710
19	Nextera_711
60	Nextera_712
1	Nextera_701_Reversed:
3	Nextera_704_Reversed:
3	Nextera_705_Reversed:
2	Nextera_706_Reversed:
148	Nextera_707_Reversed:
2	Nextera_709_Reversed:
2	Nextera_710_Reversed:
1	Nextera_711_Reversed:
4	Nextera_712_Reversed:
531	rRNA_18S
73	rRNA_28S
108	EC2_RNA_SPIKE_1_(750_bp)
1531	HPV18
481	HPV18_as
