../DDBJ/1772-062-249_C01.1.fastq.bz2	Input file name.
04-10-2015; 9:53pm	Date and Time
20.000000	selected threshold
1393022	total input reads
1242749	successfully extracted
89.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
5121	low complexity
145152	match artifacts:
99457	Nextera_701
8	Nextera_702
98	Nextera_703
2	Nextera_704
6	Nextera_705
11	Nextera_706
1	Nextera_707
7	Nextera_708
19	Nextera_709
1	Nextera_710
9	Nextera_711
11	Nextera_712
427	Nextera_701_Reversed:
1	Nextera_703_Reversed:
7	Nextera_704_Reversed:
1	Nextera_705_Reversed:
1	Nextera_707_Reversed:
34	Nextera_709_Reversed:
11	Nextera_711_Reversed:
11	Nextera_712_Reversed:
6	rRNA_5.8S
4699	rRNA_18S
254	rRNA_28S
30487	EC2_RNA_SPIKE_1_(750_bp)
2149	EC15_RNA_SPIKE_4_(1000_bp)
398	EC18_RNA_SPIKE_7_(1474bp)
5344	HPV18
1692	HPV18_as
