../DDBJ/1772-067-038_D11.2.fastq.bz2	Input file name.
04-11-2015; 8:04am	Date and Time
20.000000	selected threshold
1445734	total input reads
1312972	successfully extracted
90.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7292	low complexity
125470	match artifacts:
25929	Nextera_501
460	Nextera_502
4	Nextera_503
92297	Nextera_504
386	Nextera_505
13	Nextera_506
6	Nextera_507
4	Nextera_508
4	Nextera_701
1	rRNA_5.8S
170	rRNA_18S
6	rRNA_28S
548	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
4104	HPV18
1537	HPV18_as
