../DDBJ/1772-067-038_E08.1.fastq.bz2	Input file name.
04-11-2015; 8:29am	Date and Time
20.000000	selected threshold
1830193	total input reads
1651851	successfully extracted
90.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9512	low complexity
168830	match artifacts:
36487	Nextera_701
5672	Nextera_702
40	Nextera_703
12	Nextera_704
13	Nextera_705
17	Nextera_706
15	Nextera_707
122434	Nextera_708
21	Nextera_709
4	Nextera_710
15	Nextera_711
9	Nextera_712
2	Nextera_701_Reversed:
4	Nextera_702_Reversed:
1	Nextera_703_Reversed:
6	Nextera_704_Reversed:
2	Nextera_705_Reversed:
6	Nextera_706_Reversed:
288	Nextera_708_Reversed:
6	Nextera_709_Reversed:
3	Nextera_710_Reversed:
3	Nextera_712_Reversed:
1	rRNA_5.8S
89	rRNA_18S
5	rRNA_28S
326	EC2_RNA_SPIKE_1_(750_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
2526	HPV18
822	HPV18_as
