../DDBJ/1772-062-249_D08.1.fastq.bz2	Input file name.
04-10-2015;10:35pm	Date and Time
20.000000	selected threshold
1434256	total input reads
1284547	successfully extracted
89.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1894	low complexity
147815	match artifacts:
22683	Nextera_701
3683	Nextera_702
36	Nextera_703
7	Nextera_704
7	Nextera_705
6	Nextera_706
3	Nextera_707
92797	Nextera_708
9	Nextera_709
3	Nextera_710
9	Nextera_711
4	Nextera_712
2	Nextera_701_Reversed:
3	Nextera_702_Reversed:
2	Nextera_703_Reversed:
2	Nextera_705_Reversed:
55	Nextera_706_Reversed:
3	Nextera_707_Reversed:
709	Nextera_708_Reversed:
4	Nextera_709_Reversed:
15	Nextera_710_Reversed:
17	Nextera_711_Reversed:
17	Nextera_712_Reversed:
3287	rRNA_18S
157	rRNA_28S
20068	EC2_RNA_SPIKE_1_(750_bp)
1730	EC15_RNA_SPIKE_4_(1000_bp)
170	EC18_RNA_SPIKE_7_(1474bp)
1805	HPV18
522	HPV18_as
