../DDBJ/1772-064-103_F10.1.fastq.bz2	Input file name.
04-11-2015; 4:26am	Date and Time
20.000000	selected threshold
1571381	total input reads
1361551	successfully extracted
86.6%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6868	low complexity
202962	match artifacts:
35100	Nextera_701
11207	Nextera_702
29	Nextera_703
21	Nextera_704
41	Nextera_705
44	Nextera_706
19	Nextera_707
37	Nextera_708
146857	Nextera_710
25	Nextera_711
39	Nextera_712
22	Nextera_701_Reversed:
45	Nextera_702_Reversed:
17	Nextera_703_Reversed:
16	Nextera_704_Reversed:
19	Nextera_705_Reversed:
25	Nextera_706_Reversed:
11	Nextera_707_Reversed:
34	Nextera_708_Reversed:
859	Nextera_710_Reversed:
27	Nextera_711_Reversed:
19	Nextera_712_Reversed:
132	rRNA_18S
35	rRNA_28S
6602	EC2_RNA_SPIKE_1_(750_bp)
270	EC15_RNA_SPIKE_4_(1000_bp)
4	EC18_RNA_SPIKE_7_(1474bp)
1064	HPV18
342	HPV18_as
