../DDBJ/1772-067-038_D04.2.fastq.bz2	Input file name.
04-11-2015; 7:42am	Date and Time
20.000000	selected threshold
1498230	total input reads
1359679	successfully extracted
90.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
7299	low complexity
131252	match artifacts:
27866	Nextera_501
547	Nextera_502
5	Nextera_503
99870	Nextera_504
467	Nextera_505
10	Nextera_506
8	Nextera_507
7	Nextera_508
3	Nextera_701
53	rRNA_18S
8	rRNA_28S
116	EC2_RNA_SPIKE_1_(750_bp)
1	EC3_RNA_SPIKE_3_(1000_bp)
1	EC15_RNA_SPIKE_4_(1000_bp)
1559	HPV18
731	HPV18_as
