../DDBJ/1772-064-103_A01.1.fastq.bz2	Input file name.
04-11-2015;12:33am	Date and Time
20.000000	selected threshold
1972534	total input reads
1640978	successfully extracted
83.2%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
6224	low complexity
325332	match artifacts:
300558	Nextera_701
47	Nextera_702
90	Nextera_703
31	Nextera_704
35	Nextera_705
43	Nextera_706
31	Nextera_707
62	Nextera_708
24	Nextera_710
40	Nextera_711
20	Nextera_712
1642	Nextera_701_Reversed:
2	Nextera_702_Reversed:
11	Nextera_703_Reversed:
19	Nextera_704_Reversed:
24	Nextera_705_Reversed:
17	Nextera_706_Reversed:
5	Nextera_707_Reversed:
3	Nextera_708_Reversed:
3	Nextera_710_Reversed:
24	Nextera_711_Reversed:
14	Nextera_712_Reversed:
2	rRNA_5.8S
236	rRNA_18S
75	rRNA_28S
18053	EC2_RNA_SPIKE_1_(750_bp)
3	EC3_RNA_SPIKE_3_(1000_bp)
674	EC15_RNA_SPIKE_4_(1000_bp)
11	EC18_RNA_SPIKE_7_(1474bp)
2661	HPV18
872	HPV18_as
