../DDBJ/1772-067-038_D02.1.fastq.bz2	Input file name.
04-11-2015; 7:35am	Date and Time
20.000000	selected threshold
1442538	total input reads
1309532	successfully extracted
90.8%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
8867	low complexity
124139	match artifacts:
27340	Nextera_701
94637	Nextera_702
24	Nextera_703
26	Nextera_704
36	Nextera_705
29	Nextera_706
18	Nextera_707
3	Nextera_708
33	Nextera_709
29	Nextera_710
14	Nextera_711
17	Nextera_712
7	Nextera_701_Reversed:
248	Nextera_702_Reversed:
4	Nextera_703_Reversed:
3	Nextera_704_Reversed:
5	Nextera_705_Reversed:
4	Nextera_706_Reversed:
2	Nextera_707_Reversed:
2	Nextera_708_Reversed:
10	Nextera_709_Reversed:
4	Nextera_710_Reversed:
2	Nextera_711_Reversed:
3	Nextera_712_Reversed:
44	rRNA_18S
12	rRNA_28S
311	EC2_RNA_SPIKE_1_(750_bp)
5	EC15_RNA_SPIKE_4_(1000_bp)
981	HPV18
286	HPV18_as
