../DDBJ/1772-062-248_F10.1.fastq.bz2	Input file name.
04-10-2015; 7:06pm	Date and Time
20.000000	selected threshold
2089862	total input reads
1799084	successfully extracted
86.1%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9925	low complexity
280853	match artifacts:
47783	Nextera_701
15398	Nextera_702
23	Nextera_703
11	Nextera_704
50	Nextera_705
45	Nextera_706
20	Nextera_707
104	Nextera_708
25	Nextera_709
184444	Nextera_710
22	Nextera_711
36	Nextera_712
5	Nextera_701_Reversed:
20	Nextera_702_Reversed:
8	Nextera_703_Reversed:
46	Nextera_704_Reversed:
8	Nextera_705_Reversed:
1	Nextera_706_Reversed:
3	Nextera_707_Reversed:
1	Nextera_708_Reversed:
1	Nextera_709_Reversed:
706	Nextera_710_Reversed:
1	Nextera_711_Reversed:
5	Nextera_712_Reversed:
1	rRNA_5.8S
3289	rRNA_18S
187	rRNA_28S
20408	EC2_RNA_SPIKE_1_(750_bp)
1765	EC15_RNA_SPIKE_4_(1000_bp)
253	EC18_RNA_SPIKE_7_(1474bp)
4611	HPV18
1573	HPV18_as
