../DDBJ/1772-062-248_H05.1.fastq.bz2	Input file name.
04-10-2015; 8:29pm	Date and Time
20.000000	selected threshold
1866627	total input reads
1623309	successfully extracted
87.0%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
9001	low complexity
234317	match artifacts:
40863	Nextera_701
64	Nextera_702
594	Nextera_703
34	Nextera_704
168654	Nextera_705
8	Nextera_706
7	Nextera_707
12	Nextera_708
62	Nextera_709
19	Nextera_710
18	Nextera_711
36	Nextera_712
7	Nextera_701_Reversed:
6	Nextera_703_Reversed:
5	Nextera_704_Reversed:
394	Nextera_705_Reversed:
34	Nextera_706_Reversed:
5	Nextera_709_Reversed:
3	Nextera_710_Reversed:
1	Nextera_711_Reversed:
4	Nextera_712_Reversed:
3693	rRNA_18S
200	rRNA_28S
13051	EC2_RNA_SPIKE_1_(750_bp)
1235	EC15_RNA_SPIKE_4_(1000_bp)
120	EC18_RNA_SPIKE_7_(1474bp)
3847	HPV18
1341	HPV18_as
