../DDBJ/1772-062-249_D12.1.fastq.bz2	Input file name.
04-10-2015;10:44pm	Date and Time
20.000000	selected threshold
1723818	total input reads
1504811	successfully extracted
87.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
1145	low complexity
217862	match artifacts:
35129	Nextera_701
22	Nextera_702
19	Nextera_703
8	Nextera_704
5525	Nextera_705
143	Nextera_706
5	Nextera_707
28	Nextera_708
45	Nextera_709
5	Nextera_710
34	Nextera_711
151684	Nextera_712
5	Nextera_701_Reversed:
1	Nextera_703_Reversed:
1	Nextera_704_Reversed:
19	Nextera_705_Reversed:
52	Nextera_706_Reversed:
1	Nextera_708_Reversed:
3	Nextera_710_Reversed:
27	Nextera_711_Reversed:
3253	Nextera_712_Reversed:
2684	rRNA_18S
120	rRNA_28S
11734	EC2_RNA_SPIKE_1_(750_bp)
859	EC15_RNA_SPIKE_4_(1000_bp)
100	EC18_RNA_SPIKE_7_(1474bp)
4916	HPV18
1440	HPV18_as
