../DDBJ/1772-064-103_A08.1.fastq.bz2	Input file name.
04-11-2015;12:59am	Date and Time
20.000000	selected threshold
3363230	total input reads
2868677	successfully extracted
85.3%	extracted
0	barcode / UMI not found
0	too short
0	ambiguous barcode
0	problems with architecture
10801	low complexity
483752	match artifacts:
1	Nextera_501
82774	Nextera_701
13340	Nextera_702
103	Nextera_703
50	Nextera_704
49	Nextera_705
68	Nextera_706
47	Nextera_707
359248	Nextera_708
44	Nextera_710
77	Nextera_711
45	Nextera_712
34	Nextera_701_Reversed:
40	Nextera_702_Reversed:
25	Nextera_703_Reversed:
21	Nextera_704_Reversed:
33	Nextera_705_Reversed:
27	Nextera_706_Reversed:
14	Nextera_707_Reversed:
3736	Nextera_708_Reversed:
5	Nextera_710_Reversed:
38	Nextera_711_Reversed:
18	Nextera_712_Reversed:
332	rRNA_18S
72	rRNA_28S
19966	EC2_RNA_SPIKE_1_(750_bp)
876	EC15_RNA_SPIKE_4_(1000_bp)
74	EC18_RNA_SPIKE_7_(1474bp)
1935	HPV18
660	HPV18_as
